customer_id,product_category,product,type,price,num_clicks,added_to_cart,purchased,timestamp
CUST0655,Electronics,Mobile,iOS,599.34,3,No,No,2025-02-06 06:50:28.306712
CUST0229,Clothing,Jacket,Leather,472.35,3,Yes,No,2025-04-10 03:07:51.306712
CUST0559,Electronics,Headphones,Wired,406.11,1,No,No,2025-01-16 14:15:39.306712
CUST0031,Electronics,Mobile,Android,608.51,3,No,No,2025-03-03 13:45:54.306712
CUST0617,Electronics,Headphones,Wireless,318.4,3,No,No,2025-03-24 00:38:54.306712
CUST0666,Toys,Doll,Barbie,217.54,0,No,No,2025-02-26 02:56:05.306712
CUST0604,Home,Chair,Office,379.95,2,No,No,2025-03-22 06:59:04.306712
CUST0433,Home,Lamp,LED,689.49,1,Yes,No,2025-02-03 09:55:09.306712
CUST0981,Home,Chair,Office,664.51,3,Yes,Yes,2025-02-17 08:41:04.306712
CUST0868,Home,Table,Study,255.83,5,No,No,2025-04-01 20:56:49.306712
CUST0045,Books,Textbook,Math,476.87,3,No,No,2025-04-13 01:18:21.306712
CUST0388,Electronics,Headphones,Wired,439.78,3,Yes,No,2025-03-14 13:27:26.306712
CUST0907,Home,Table,Coffee,364.62,0,Yes,No,2025-03-22 21:58:23.306712
CUST0072,Electronics,Headphones,Wireless,622.34,3,No,No,2025-03-29 13:34:54.306712
CUST0297,Electronics,Mobile,Android,198.37,1,No,No,2025-02-19 09:57:36.306712
CUST0285,Books,Textbook,Science,719.93,4,Yes,Yes,2025-02-17 00:02:33.306712
CUST0215,Home,Table,Coffee,572.28,4,No,No,2025-03-13 15:34:48.306712
CUST0651,Clothing,Jacket,Leather,807.61,0,No,No,2025-01-29 08:57:26.306712
CUST0474,Books,Biography,Historical,518.35,4,No,No,2025-03-20 23:28:07.306712
CUST0333,Electronics,Mobile,Android,102.49,1,Yes,No,2025-04-01 16:05:40.306712
CUST0324,Books,Biography,Historical,600.29,6,No,No,2025-02-02 23:49:39.306712
CUST0936,Toys,Car,Remote Control,731.64,1,No,No,2025-02-03 03:39:27.306712
CUST0672,Books,Biography,Celebrity,559.22,0,No,No,2025-01-27 09:07:00.306712
